Country Name	Country Code	Indicator Name	Indicator Code	"$1,960 "	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																											2.868319392	7.235198033	10.02617921	10.6347326	26.37450321	26.0461298	21.4425588	22.00078616	21.03624511	20.77193616	20.31835337	20.42681771	20.58766915	20.31156677	26.19487524	25.93402441	25.67116178	26.42045209	26.51729342	27.20070778	26.94826047	27.895574	26.23084664	25.91583295	24.67052887	24.5058352	13.15554169	8.351294252	8.408362638
Afghanistan	AFG	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.046059897	0.053604304	0.073764791	0.074232685	0.086292452	0.101467397	0.107636955	0.123734289	0.11549774	0.08682346	0.150290627	0.166042044	0.13076385	0.136279785	0.155649444	0.168928649	0.154787206	0.182963616	0.163159571	0.168376671	0.132858608	0.151972881	0.164803883	0.203635582	0.234987713	0.297827727	0.270891121	0.271611659	0.248472561	0.235694613	0.213449805	0.187672724	0.099666474	0.089154036	0.08003917	0.072698618	0.066044698	0.059648382	0.05520717	0.042332597	0.03850634	0.039002334	0.048715548	0.0518296	0.039377828	0.052948215	0.063728472	0.085417506	0.154101422	0.241722682	0.293836994	0.412016938	0.350370581	0.315601773	0.299444991
Angola	AGO	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.097471604	0.079038085	0.201289076	0.192534735	0.201003361	0.191528411	0.246412785	0.154911578	0.256315998	0.419550564	0.528697988	0.492302233	0.635214721	0.670624323	0.652023363	0.574693143	0.415850303	0.434755038	0.646179204	0.636944237	0.598717343	0.571201904	0.485251545	0.515071547	0.487395694	0.443121443	0.426768722	0.5184278	0.445557344	0.423524277	0.420284254	0.405450105	0.400678653	0.430889258	0.281092579	0.769173426	0.712306341	0.489209377	0.47137391	0.574083595	0.580352661	0.573047493	0.720768849	0.497975073	0.996165478	0.979740026	1.098883898	1.197843982	1.181526759	1.232494515	1.243405585	1.252789255	1.330843018	1.254617218	1.291328315
Albania	ALB	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	1.258194928	1.374186047	1.439955964	1.181681144	1.11174196	1.166099043	1.333055465	1.3637463	1.519551277	1.558967572	1.753239905	1.989497923	2.515914398	2.303897417	1.849006691	1.910633637	2.013584562	2.275876391	2.53062504	2.898208518	1.93505831	2.693023914	2.624856785	2.683239919	2.694291374	2.658015382	2.665356221	2.414060815	2.331598531	2.783243075	1.678106654	1.3122126	0.774724911	0.723790292	0.600203708	0.654537133	0.636625313	0.49036506	0.560271437	0.960164412	0.978174681	1.053304176	1.229540709	1.412697196	1.376212735	1.412498211	1.302576367	1.322334855	1.484311139	1.495600199	1.578573584	1.803714725	1.692908325	1.749211079	1.978763312
Andorra	AND	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																															7.467335669	7.182456636	6.912053389	6.736054846	6.494200424	6.662051684	7.065071473	7.239712718	7.660783886	7.975454404	8.019284294	7.786950001	7.590615141	7.315760706	7.358624941	7.299871936	6.746218716	6.519465912	6.427886622	6.121652341	6.122594702	5.867129945	5.916596911	5.900752587	5.832169951
Arab World	ARB	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.643689011	0.685150884	0.760854507	0.874941189	0.999097655	1.165705386	1.272650672	1.331404395	1.544942527	1.789913392	1.801245462	1.993486215	2.109871603	2.396799726	2.273440745	2.184263525	2.568710035	2.631628366	2.74324133	2.842655116	3.069208819	2.907057909	2.70111659	2.793356928	2.956318154	3.035558013	3.255536588	3.168821856	3.264489032	3.226127128	2.989008072	3.207224619	3.385246998	3.63837855	3.644858894	3.398199765	3.304793683	3.124848492	3.329548276	3.309553392	3.684441272	3.590302965	3.588035581	3.779889011	4.051465169	4.168486256	4.268239866	4.100226273	4.390401434	4.542151451	4.615758201	4.537755236	4.813630727	4.650474168	4.860233832
United Arab Emirates	ARE	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.118757692	0.10883674	0.163018351	0.175222592	0.132354958	0.146326865	0.159950399	5.383684807	6.785773552	100.6976695	64.74501378	75.98153209	70.48362784	77.12098728	66.46069916	56.05113796	61.29020795	51.84464328	52.58289939	38.4518098	35.40411979	32.88162816	30.99646083	28.20499098	35.18821247	35.89096957	32.0839896	30.55837249	29.21022992	31.02882617	27.95924521	28.93913532	27.86136845	29.890451	31.40439759	28.8469908	15.97008152	15.42443139	28.7143215	26.22842771	35.67825923	30.49115342	24.15124891	28.55255307	27.70120802	25.36237265	23.63108943	22.43980121	22.82394719	21.90855608	19.44369027	19.07648878	19.81768422	18.95416379	23.30202251
Argentina	ARG	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	2.367473032	2.442615898	2.522392105	2.316356332	2.538379303	2.641714344	2.792653799	2.858162297	2.96985458	3.275850995	3.451159798	3.650078618	3.637858513	3.730791118	3.726698966	3.641822498	3.768774074	3.749871394	3.762750369	3.998733119	3.868853067	3.574967863	3.567086789	3.572042094	3.560142534	3.31032707	3.377245	3.669168725	3.820445568	3.629201904	3.426481983	3.52770381	3.605749117	3.457164549	3.542095019	3.656645582	3.811457285	3.851202695	3.857870916	4.010698763	3.835573665	3.568599866	3.291547735	3.52558427	4.06905838	4.141236814	4.434821452	4.382668884	4.682912395	4.410889894	4.558499612	4.600290699	4.569383676	4.462903755	4.746797455
Armenia	ARM	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																																	1.692473009	0.759983503	0.824155363	1.05997746	0.809046419	1.032302975	1.081692124	0.975803629	1.128918604	1.161167684	1.003201493	1.136138307	1.214751524	1.460030477	1.481177962	1.726570171	1.911537642	1.509411878	1.465621895	1.710070765	1.976060074	1.899711734	1.90275891
American Samoa	ASM	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																																																							
Antigua and Barbuda	ATG	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.662642982	0.849084497	1.796794064	1.446821285	1.540135072	2.473585495	5.613448493	8.912847222	15.31343284	19.08331058	6.886077081	6.238223734	5.406990864	4.710273171	6.053204097	9.883268863	5.580272532	6.39051801	6.701462004	5.535809488	1.94729174	1.45543755	4.049249117	1.177305658	2.073948392	3.573357026	3.62388641	4.053725403	4.265352382	4.292944302	4.23352225	3.977164337	3.858476917	3.87997941	3.732497664	3.735788316	3.878986619	3.962335507	3.995303753	4.033068153	4.123971095	4.09566526	4.293313704	4.620874526	4.778147909	4.806998084	4.913644367	5.136472571	5.194500314	5.446757355	5.539567509	5.363407474	5.418446532	5.360453467	5.377648546
Australia	AUS	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	8.582936643	8.641569017	8.835688047	9.226439909	9.759073431	10.62232139	10.32809244	10.9556248	11.21016771	11.60055435	11.80289054	11.80911757	11.95163155	12.77968685	12.55966873	12.65989981	12.41679178	13.23189614	14.06985862	14.12909198	15.02491601	15.43250084	15.42493181	14.64008413	15.2209753	15.3084102	14.98057315	15.7469578	15.79616778	16.51986292	15.45288167	15.12796621	15.31776851	15.7014518	15.57658628	15.59651881	16.50180039	16.51427321	16.93569585	17.19029769	17.20060983	16.73336743	17.37045177	16.90195895	17.02651535	17.16971145	17.65139831	17.86526004	18.16087566	18.20018196	17.74084505	17.53887776	17.06614082	16.08347439	15.37013776
Austria	AUT	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	4.373318828	4.496361641	4.755361673	5.155193747	5.391003988	5.252196533	5.361724683	5.417736727	5.711110104	6.006325178	6.788807307	6.953651912	7.448516814	7.930866985	7.562697278	7.176844855	7.721250012	7.428063284	7.601371804	8.158846402	6.928479	7.416160614	7.112124941	6.874373273	7.214278667	7.230766353	7.144304852	7.623419815	7.032030698	7.102448997	7.513246156	7.944096184	7.226236428	7.223017309	7.189264701	7.521516107	7.938008299	7.863667996	7.981004261	7.741130615	7.774259739	8.192769898	8.299115796	8.889562334	8.858363703	9.020169598	8.727297872	8.406418936	8.295095978	7.518751102	8.071131802	7.748134305	7.387077163	7.368748145	6.86986793
Azerbaijan	AZE	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																																	7.61863709	6.464585857	5.525358563	4.337414444	4.026472755	3.803022741	4.00297561	3.579835395	3.666271029	3.547105484	3.623944346	3.718169927	3.863229639	4.091801927	4.616299863	3.5553401	4.051383481	3.565668218	3.388225879	3.646179877	3.82487717	3.785068836	3.931560609
Burundi	BDI	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC			0.015206992	0.016160066	0.015833023	0.01191406	0.01512058	0.014740464	0.016586591	0.021623037	0.018039962	0.02092206	0.020693856	0.020494678	0.025334488	0.020974295	0.023533697	0.025910488	0.026234565	0.027411289	0.035629468	0.037336898	0.036387481	0.046159711	0.048130813	0.049131807	0.048473582	0.049993825	0.044267124	0.050698823	0.038597042	0.043008469	0.038217221	0.039393228	0.039969978	0.039978645	0.040062492	0.040797127	0.040307438	0.040297088	0.042395011	0.031323575	0.031548442	0.023205146	0.027569697	0.020747407	0.024365963	0.023555045	0.023219419	0.022462399	0.024260032	0.02676196	0.030296973	0.03017577	0.044485376
Belgium	BEL	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	9.941594074	10.10387199	10.64118963	11.38692874	11.05365472	11.14165555	11.04201943	11.21725675	12.32568713	12.81544961	13.01017881	12.56342518	13.47269526	14.2554864	13.83696555	12.4583039	13.24167979	12.87543872	13.80705794	14.23923382	13.72329627	12.57955507	11.92668478	10.31207942	10.69696639	10.59744025	10.43154171	10.44717278	10.13514385	10.81351494	10.63967167	11.09099988	11.14648251	10.67503455	11.1051094	11.08115205	11.62383425	11.32885202	11.60191455	11.17302675	11.2296677	11.13371551	10.3854951	10.88211417	10.66129022	10.35539299	10.151039	9.744777191	9.751984809	9.249615685	10.17146522	9.046560547	8.546478214	8.671352487	8.328159898
Benin	BEN	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.066354063	0.05204863	0.054208805	0.047588561	0.055303533	0.057114995	0.042382648	0.052284076	0.055170709	0.070750258	0.096952622	0.098556326	0.127712648	0.122481633	0.127701408	0.135891142	0.077784148	0.086510056	0.103019122	0.101339606	0.139097135	0.112310111	0.125105341	0.112552906	0.120856597	0.173986403	0.155688061	0.118857275	0.118496584	0.130855167	0.142157591	0.159512217	0.168501162	0.205206743	0.221397671	0.224780453	0.207591276	0.193809928	0.187593089	0.234411619	0.232860969	0.256497596	0.285000234	0.313037269	0.323642156	0.299985405	0.471267009	0.531738987	0.507237393	0.521063185	0.553283259	0.559693354	0.562347006	0.580960914	0.614213852
Burkina Faso	BFA	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.009111902	0.018729901	0.017003116	0.017504203	0.021575284	0.019841271	0.019533659	0.019216851	0.018894962	0.021889868	0.025426341	0.026268913	0.027698405	0.028443214	0.033998445	0.03574919	0.033314914	0.03896836	0.053341702	0.06100989	0.06342019	0.079795452	0.080427283	0.08092381	0.061836945	0.061686819	0.060571874	0.063518718	0.066263378	0.095737173	0.066173051	0.069287423	0.067840845	0.0656434	0.065745043	0.062147134	0.068229866	0.075639822	0.078563833	0.08255275	0.089716851	0.083504269	0.081733493	0.085194017	0.084705971	0.083875344	0.098375847	0.115526282	0.130556622	0.127633338	0.125717252	0.137496219	0.158663009	0.179132409	0.162018806
Bangladesh	BGD	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC													0.051914946	0.066302743	0.066692361	0.06829413	0.076304643	0.077572579	0.078115625	0.083903855	0.093755743	0.094739619	0.099981186	0.093233483	0.100553935	0.109813432	0.119727919	0.120625234	0.134150581	0.12986798	0.146281294	0.146609266	0.159575353	0.153104602	0.163272688	0.192205167	0.198152233	0.202365814	0.190182468	0.19558517	0.211802225	0.242020016	0.246756218	0.25660216	0.266823041	0.275246594	0.299529173	0.301630726	0.332727819	0.357158767	0.393936699	0.412011186	0.433487963	0.442400828	0.459141965
Bulgaria	BGR	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	2.833901121	3.269920074	3.835891818	4.259780927	5.262987916	5.645651942	5.905436715	6.638369161	7.112214403	7.869932816	7.213424372	7.532552676	7.715656701	7.983550221	8.210958036	8.377877479	8.347946173	8.628766462	9.236529547	8.968132006	8.744238667	9.03643153	10.10727531	10.10833662	9.749961471	9.992783476	10.21729994	10.214134	9.718843491	9.771261867	8.54301079	6.666757565	6.347137362	8.00979638	6.414520789	6.900326395	6.763241038	6.209849583	5.934325293	5.356718076	5.328034342	5.800066474	5.695266947	6.084370085	6.064891808	6.256282044	6.445333272	6.925435282	6.772087541	5.731193724	5.964900206	6.71538056	6.119456526	5.450695963	5.871615869
Bahrain	BHR	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	3.544478443	10.54928109	9.19164395	6.710688223	8.742075708	6.554118582	3.384393576	5.124669111	5.500874644	6.175647802	12.19429929	13.79835415	16.06627828	23.05586427	21.45661761	21.58572163	23.17139967	24.63817597	24.01036872	23.72652699	21.91714367	22.7888779	25.49180205	20.75587079	22.61106705	24.30503302	25.40359461	25.45818791	26.14657504	24.39890041	25.05885496	23.29978127	20.84164011	27.30693027	26.9092684	26.28769432	26.99547927	29.11139294	29.98959267	28.30850608	28.05091075	19.96600382	21.35410421	21.14840679	21.10015931	21.60193124	19.64708884	25.91595737	26.70821199	23.81170841	23.5854809	22.41333475	20.51485098	23.80435697	23.44975483
"Bahamas, The"	BHS	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	3.749762618	4.746698752	5.996432199	5.558111409	8.118535805	9.39961015	7.465982537	11.17335806	10.2871201	10.62717354	15.20031413	38.72366173	36.4970001	43.38054858	39.9192054	43.70144852	33.51401748	49.29988687	32.79160153	33.63860954	37.93010097	13.00668536	10.2714289	8.956334069	8.0668739	6.43752743	5.903856045	5.845673458	6.220802249	7.731525636	7.6104956	6.825173486	6.737820046	6.274733096	6.113992642	6.00804212	5.879294549	4.753542182	5.790133076	5.708374777	5.60101044	5.17748198	5.100353542	4.808098915	5.343724227	5.290297009	4.957323646	4.938208385	4.290906171	4.629528598	4.583343495	5.091832893	5.292937031	7.426540134	6.323257512
Bosnia and Herzegovina	BIH	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																																	3.550952619	3.083043562	0.818125484	0.892014022	1.126180239	2.236886701	2.824691473	2.760650238	3.66047151	3.543235673	3.787614144	3.833651783	4.128334876	4.285163148	4.647460965	4.677514043	5.35493606	5.526103005	5.716134832	6.475389585	6.101280083	6.080813337	6.234719162
Belarus	BLR	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC																																	8.556931578	7.497670183	6.361224895	5.961662841	5.921699705	5.886700306	5.770180554	5.596280066	5.389745291	5.314049012	5.311929657	5.464145912	5.977157999	6.122471586	6.462446658	6.330314039	6.623163555	6.439684267	6.64269666	6.762517349	6.67999159	6.736652251	6.701957705
Belize	BLZ	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.477971846	0.387210542	0.715446069	0.622369314	0.818296481	0.794777561	0.737779729	1.073820679	0.884672715	1.13766445	0.990415937	1.146001779	1.240117971	1.13446873	1.172930613	1.320846466	1.302404049	1.445502924	1.556888425	1.479204558	1.322770629	1.242494884	1.137617162	1.106063329	1.074850169	1.156214187	1.211030383	1.304233593	1.392832406	1.638936278	1.66191243	1.880257003	1.830508911	1.911287548	1.854646608	1.824968714	1.441565735	1.754022906	1.608305397	1.457435593	1.601342418	1.754517931	1.650252092	1.607795489	1.421168536	1.48866657	1.526093133	1.597516144	1.425287018	1.868957631	1.676105694	1.82686092	1.415825911	1.491598897	1.407601494
Bermuda	BMU	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	3.551373874	3.868483516	3.383712446	3.151928721	4.124437628	3.586487026	3.954607843	4.090115385	4.220509434	3.667	4.133709091	4.231153846	4.668321033	7.906542751	8.30911985	8.648584906	8.822857143	8.515131086	7.936044776	8.588141264	7.981946223	7.0608901	7.142347022	8.064384051	7.863938465	7.92718549	7.349081594	9.888710263	11.06127136	13.27426454	8.468108418	9.133172938	7.885348579	9.150381939	8.963503034	8.899591604	8.781918874	8.667884358	8.54427908	8.37692747	8.36199117	8.448227313	8.85974059	8.859865772	9.147364292	9.088334321	10.11617563	11.24603933	9.943759288	7.262934975	9.347122413	6.872359209	7.356862866	7.051814587	8.838314988
Bolivia	BOL	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.27203787	0.276621442	0.286626419	0.310159593	0.371215506	0.371151111	0.407084554	0.446569785	0.503738613	0.577435829	0.551786173	0.665554708	0.760237314	0.720636556	0.717366887	0.810373475	0.89457664	0.856199953	0.939655034	0.866274904	0.835142386	0.839129113	0.745317284	0.719868925	0.66404349	0.664145825	0.595940954	0.623387481	0.653551374	0.742885591	0.839700279	0.858995776	0.933241509	1.076331229	1.164031109	1.301696086	1.27342178	1.390233717	1.369256318	1.276302527	1.327056787	1.014681791	1.201378773	1.259040432	1.239406557	1.335330942	1.621906742	1.30616895	1.37896562	1.433545061	1.532870644	1.602029322	1.835469055	1.818997383	1.932419499
